objectid,filename,image_small,image_thumb,title,creator,publisher,date,description,subject,location,congress,symposium,newspaper,journal,volume,issue,pages,doi,issn,thesis,university,faculty,format,language,rights,access
paper001,https://www.imf.org/external/pubs/ft/fandd/2015/12/edwards.htm,portadap001.png,portadap001.png,La demanda insaciable de arena,"Edwards, Bruce",Fondo Monetario Internacional,16-12-2015,"El artículo La demanda insaciable de arena de Bruce Edwards explora el impacto del rápido crecimiento urbano e industrial en la extracción global de arena, la materia prima esencial para la fabricación de hormigón y vidrio. A pesar de la abundancia aparente de arena en desiertos, esta no es apta para la construcción debido a la forma redondeada de sus granos. En su lugar, la industria depende de la arena de origen fluvial y marino, cuya tasa de consumo supera con creces su renovación natural.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       

El documento detalla los principales factores detrás de este aumento drástico de la demanda: el auge de las megaciudades (como Dubái y Singapur), los proyectos masivos de infraestructura en Asia y el uso intensivo de arena en la fracturación hidráulica (fracking) para la extracción de petróleo. Asimismo, advierte sobre las severas consecuencias ambientales y sociales de esta dinámica, tales como la pérdida de biodiversidad marina, la erosión costera, la proliferación de la minería ilegal y la aparición de ""mafias de la arena"" en países como India y Marruecos. Finalmente, se concluye que la falta de regulación internacional para la extracción de este recurso limita los avances hacia un desarrollo global sostenible.",minería de arena; extracción de arena; crecimiento urbanización; construcción; impactos ambientales,,,,,Finanzas y Desarrollo,52,4,46-47,,0250-7447,,,,record,Español,Copyright (C) 2015 International Monetary Fund. Todos los derechos reservados.,https://www.elibrary.imf.org/view/journals/022/0052/004/022.0052.issue-004-es.xml
paper002,https://wedocs.unep.org/handle/20.500.11822/8665,portadap002.png,portadap002.png,"Sand, Rarer than One Thinks: UNEP Global Environmental Alert Service (GEAS)",,Programa de las Naciones Unidas Para el Medio Ambiente,03-01-2014,"Este documento examina la problemática global generada por la extracción desmedida de arena y grava, los materiales sólidos más explotados del planeta. Impulsada por el crecimiento urbano, la infraestructura masiva y proyectos de recuperación de tierras, la tasa de extracción supera drásticamente la capacidad de regeneración natural de estos recursos. A través de un análisis del impacto socioambiental, la publicación evidencia cómo la minería fluvial y marina destruye hábitats acuáticos, reduce la biodiversidad, altera mantos freáticos y acelera la erosión de costas y ríos. Asimismo, pone de relieve la falta de regulación internacional, el comercio ilegal y el bajo costo percibido del recurso. Para contrarrestar esta crisis socioecológica, se proponen estrategias centradas en la sustitución y reciclaje de materiales, la implementación de impuestos a la extracción y el fortalecimiento de la gobernanza ambiental.",minería de arena; impactos ambientales; gobernanza ambiental; sostenibilidad,Nairobi,,,,,,,,,,,,,record,Inglés,Copyright (C) 2014 Programa de las Naciones Unidas para el Medio Ambiente. Todos los derechos reservados.,https://wedocs.unep.org/handle/20.500.11822/8665
paper003,paper003.pdf,,,Impacts of riverine sand mining on freshwater ecosystems: A review of the scientific evidence and guidance for future research,"Koehnken, Lois; Rintoul, Max; Goichot, Marc; Tickner, David; Loftus, Anne-Claire; Acreman, Mike",,05-02-2020,"La extracción de arena (término genérico utilizado aquí para referirse a la extracción de cualquier agregado fluvial independientemente del tamaño de sus partículas) es una actividad global que recibe una creciente atención mediática debido a sus impactos ambientales y sociales negativos percibidos. A medida que aumentan los llamados a una mayor regulación de la minería, surge la necesidad de comprender la evidencia científica para respaldar una gestión eficaz. Este artículo resume los resultados de una revisión estructurada de la literatura que aborda la pregunta: «¿Qué evidencia existe sobre los impactos de la extracción de arena en la estructura, los procesos y la biodiversidad de los ecosistemas en ríos, llanuras aluviales y estuarios?».

La revisión reveló que la mayoría de las investigaciones se han centrado en ríos templados donde la extracción de arena ocurrió en el pasado pero ya ha cesado. La incisión del cauce fue el impacto físico más común identificado; otras respuestas físicas, incluyendo la perturbación del hábitat, la alteración de las zonas ribereñas y los cambios en el transporte de sedimentos aguas abajo, fueron altamente variables y dependientes de las características de cada río. Los atributos de los ecosistemas afectados incluyeron la deriva de macroinvertebrados, los movimientos de peces, la abundancia de especies, la estructura de las comunidades y la dinámica de las redes tróficas. Los estudios a menudo dedujeron impactos en las poblaciones, pero los datos de respaldo eran escasos.

Evidencia limitada sugiere que los ríos pueden soportar la extracción si los volúmenes se mantienen dentro de la variabilidad natural de la carga de sedimentos. Cabe destacar que los países y ríos sobre los cuales existe evidencia científica relacionada con la extracción de arena no son aquellos donde actualmente se reporta una extracción intensiva. La falta de estudios científicos y sistemáticos sobre la extracción de arena en estos países impide cuantificar con precisión los volúmenes extraídos o el tipo, alcance y magnitud de cualquier impacto. Se requiere con urgencia investigación adicional sobre cómo la extracción de arena afecta los servicios ecosistémicos, impacta la biodiversidad (particularmente a las especies amenazadas) y cómo sus efectos interactúan con otras actividades o amenazas.",minería agregada; ecosistemas; minería de arena; revisión sistemática,,,,,River Research and Applications,36,3,362-370,https://doi.org/10.1002/rra.3586,,,,,application/pdf,Inglés,Creative Commons. CC BY 4.0,
folleto001,https://www.aridos.org/la-fda-publica-el-folleto-canteras-graveras-y-biodiversidad/,portadaf001.png,portadaf001.png,"Canteras, graveras y biodiversidad",,Unión Europea de Productores de Áridos,,"Este folleto informativo presenta una visión integral sobre cómo la industria de extracción de áridos (arenas, gravas y rocas trituradas) puede ser compatible con la conservación de la biodiversidad y la gestión ambiental sostenible. A través del ciclo de vida completo de canteras y graveras —desde la evaluación de impacto ambiental hasta su rehabilitación final—, se demuestra el potencial de estas explotaciones para generar hábitats de alto valor ecológico que acogen a especies pioneras, aves, anfibios e invertebrados. Asimismo, se expone el caso de estudio de la gravera «Soto Pajares» (CEMEX) en España, ubicada en la red Natura 2000, la cual combina de manera exitosa la extracción de materiales con la protección de avifauna y la participación de ONG ambientales como SEO/BirdLife. El informe destaca la importancia del diálogo social, la economía circular y la planificación progresiva para garantizar el desarrollo sostenible de las infraestructuras.",rehabilitación ambiental; impactos ambientales; conservación de la biodiversidad; extracción de áridos,,,,Crónica Libre,,,,,,,,,,record,Español,Copyright (C) Unión Europea de Productores de Áridos. Todos los derechos reservados.,https://www.aridos.org/la-fda-publica-el-folleto-canteras-graveras-y-biodiversidad/
diario001,https://www.cronicalibre.com/investigacion/la-arena-el-mayor-segundo-recurso-natural-en-peligro-de-extincion/,diario001.png,diario001.png,La arena: el segundo mayor recurso natural en peligro de extinción,"Yubero, Beatriz",,05-01-2023,"En los últimos 20 años, se ha multiplicado por tres la cantidad de arena que se consume en el mundo. La falta de recursos en el planeta es evidente, pues nos encontramos en medio de un proceso de cambio climático que nos acecha desde hace décadas y que se torna imparable. No obstante, uno de las materias que más escasean y de los que menos constancia se tiene, es la arena. Exactamente, la fina y poliédrica arena que cubría, hasta hace no mucho, de forma natural, la mayor parte de las costas. A día de hoy este material se ha convertido en el segundo recurso global más utilizado, por detrás del agua.",escasez de arena; extracción de arena; extracción de árdios; impactos socioambientales; materiales de construcción; economía circular,,,,,,,,,,,,,,,Español,,https://www.cronicalibre.com/investigacion/la-arena-el-mayor-segundo-recurso-natural-en-peligro-de-extincion/
paper004,https://www.researchgate.net/publication/325422563_Environmental_impacts_of_sand_mining_in_the_city_of_Santarem_Amazon_region_Northern_Brazil,portadap004.png,portadap004.png,"Environmental impacts of sand mining in the city of Santarém, Amazon region, Northern Brazil","Da Silva, Eduardo; Fernandes, Anderson; Mendes, Conceição; Da Mota, Fábio; Silva, Luiz; Tavares, Arthur; Maduro, Rodolfo; De Oliveira, Livaldo",Springer Nature,01-01-2020,"Este trabajo analiza los impactos socioambientales derivados de la extracción de arena para la construcción civil en el municipio de Santarém (Estado de Pará, Brasil), una región del interior amazónico cuyo crecimiento urbano ha sido impulsado por grandes proyectos de infraestructura. A través de datos geoespaciales y trabajo de campo, los autores mapearon 21 zonas de extracción activa, irregular e inactiva sobre la Formación Alter do Chão, revelando que la actividad se desarrolla mayoritariamente con métodos rudimentarios de desmonte mecánico y una severa falta de planeación y criterio técnico. 

Como estudio de caso, se evalúa la degradación en la Serra do Índio, donde la extracción de aproximadamente 14 059 m3 de arena entre 2002 y 2014 despojó la cubierta vegetal, desestabilizó laderas y desencadenó intensos procesos erosivos (cárcavas y flujos de masa) que derivaron en el colapso del relieve y el posterior assoreamiento (sedimentación) de cuerpos de agua locales como el Igarapé Irurá. Finalmente, la investigación enfatiza la urgencia de fortalecer la fiscalización, implementar planes de cierre de mina y aplicar técnicas de contención geotécnica (como muros de gaviones y revegetación) para reducir los daños medioambientales y garantizar una gestión más sostenible.  ",minería de arena; Amazonía; impactos ambientales; impactos sociales; crecimiento urbano,Brasil,,,,Environment Development and Sustainability,22,2,47-60,https://doi.org/10.1007/s10668-018-0183-2,1573-2975,,,,record,Inglés,Copyright (C) 2020 Springer Nature. Todos los derechos reservados.,https://www.researchgate.net/publication/325422563_Environmental_impacts_of_sand_mining_in_the_city_of_Santarem_Amazon_region_Northern_Brazil
paper005,https://doi.org/10.1016/j.envdev.2024.101032,portadap005.png,portadap005.png,Quantifying the informal sand market and its consequences: The case of Brazil,"Santana, Lidiane; Cirelli, Sérgio; John, Vanderley",,09-01-2024,"Este estudio evalúa la escala del mercado informal de extracción de arena de playa y río para el sector de la construcción en Brasil mediante una metodología basada en la Contabilidad de Flujos de Materiales (MFA). Al cruzar los datos oficiales de consumo de cemento y asfalto con la formulación típica de los materiales de construcción, la investigación demuestra que aproximadamente el 76% de la arena utilizada entre 2010 y 2020 provino de la minería no regulada o ilegal. La mayor parte de este insumo irregular se destina a la producción de mortero preparado en obra (on-site mortar), donde los desperdicios por almacenamiento ineficiente pueden alcanzar hasta un 30%. 

Las consecuencias del sector informal son tanto ambientales como financieras, acumulando un impacto económico equivalente al 0,05% del PIB nacional en 2020 debido a costos no cubiertos de recuperación ambiental, evasión fiscal (CFEM e ICMS) y cargos sociales no pagados. Para abordar este problema, los autores plantean que la industrialización del sector —sustituyendo las mezclas en obra por concreto y mortero premezclados de fábrica— junto con el reemplazo gradual de hasta un 50% de la arena natural por materiales secundarios (como finos de trituración o residuos de minería y construcción) permitiría reducir casi la mitad de la demanda de arena extraída ilegalmente.",minería de arena; informalidad; ilegalidad; construcción; impactos sociales; impactos ambientales; consumo; mitigación,Brasil,,,,Environment Development,54,,,https://doi.org/10.1016/j.envdev.2024.101032,2211-4645,,,,record,Inglés,"Copyright (C) 2024 Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",
paper006,paper006.pdf,,,Impact of sand mining: A case study of initial growth of forest species for recovery of degraded areas,"Zanon, Jair; De Melo, Francisca; Barboza, Reginaldo; Cordeiro, Ricardo; Florencio, Lucas","Universidad Austral de Chile, Facultad de Ciencias Forestales",2021,"La región de Vale do Ribeira tiene una gran extensión de selva Atlántica brasileña, y en la mayoría de las ciudades predominan las actividades de bajo impacto ambiental, como la minería de arena de río. La extracción de arena ha estado tratando de adecuar sus actividades con menor impacto ambiental, apuntando a la protección de áreas de preservación permanente (APP). 

El objetivo fue realizar un estudio de caso con enfoque en el monitoreo y crecimiento inicial de especies forestales hasta 18 meses. Este estudio se realizó en un bosque ribereño del río Ribeira de Iguape, municipalidad de Registro, estado de São Paulo, Brasil, en una APP con extracción de arena de lecho de río. Se evaluó la altura de las especies forestales, el diámetro del tallo, el índice de mortalidad y la precipitación en el período. 

Las especies no pioneras tuvieron una proporción del 42,7 % del total y las pioneras el 53,1 %; las proporciones están de acuerdo con la ley local. Los períodos de sequía y las hormigas cortadoras de hojas al inicio del crecimiento de las especies contribuyeron para o mayor índice de mortalidad y al desarrollo irregular de algunas especies, sin embargo, incluso las adversidades, las especies forestales indican resistencia en estas condiciones. Las especies pioneras tuvieron mayores desarrollos, con énfasis en Senna multijuga, Alchornea triplinervia, Citharexylum myrianthum y Trema micranta. Estas especies deben ser tomadas en consideración al inicio del proyecto de recuperación de área degradada en bosque ribereño de selva atlántica.",minería de arena; áreas de conservación; restauración; suelo,Brasil,,,,BOSQUE,42,1,11-120,http://dx.doi.org/10.4067/S0717-92002021000100111 ,0717-9200,,,,application/pdf,Inglés,Creative Commons. CC BY 4.0,
paper007,paper007.pdf,,,Geomorfologia Costera y Explotación de Arena de Playa en la Provincia de Buenos Aires y sus Consecuencias Ambientales,"Marcomini, Silvia; López, Ruben",,16-12-2006,"El presente trabajo tiene como objetivo principal caracterizar el medio físico de las áreas costeras, con el fin determinar losimpactos en la hidrodinámica litoral, a mediano y corto plazo, generado por la explotación de arena de playa en las principaleslocalidades  costeras  de  la  provincia  de  Buenos  Aires,  entre  cabo  San  Antonio  y  Necochea.  Para  tal  fin  se  describen  lasexplotaciones mineras de mayor magnitud llevadas a cabo a lo largo de la costa de la provincia de Buenos Aires y se analizasu efecto para cada morfología costera. En todos los casos las explotaciones han ocasionado un deficit de arena en la corrientede deriva litoral, lo que hace que la erosión se traslade como una onda en el sentido de la deriva litoral, es decir hacia el nortepara estas costas.

El tipo de costa que recibe el impacto de esta onda condiciona el grado de erosión a la que este sujeta. Encostas  acantiladas  cohesivas  las  explotaciones  han  producido  un  importante  incremento  en  las  tasas  de  retroceso  de  losacantilados y pérdida de playa. En costas definidas como de tipo B (con desarrollo de bermas) los efectos erosivos de laexplotación, sumados a otros factores antrópicos, han afectado fundamentalmente las morfologías de playa, mientras que enlas de tipo A (sin desarrollo de bermas), el efecto no solo ha alcanzado la playa sino que también ha provocado retroceso dela línea de costa. 

Asimismo se determinó que las tasas de retroceso de la costa se aceleran o retardan en igual medida  durantela explotación y recuperación respectivamente; es decir que la recuperación por interrupción de las actividades mineras essemejante en magnitud a la erosión inducida durante la explotación.",minería de arena; arena de playa; impactos ambientales,Argentina,,,,Revista Brasileira de Geomorfologia,7,2,61-71,https://doi.org/10.20502/rbg.v7i2.79,2236-5664,,,,application/pdf,Español,Creative Commons. CC BY 4.0,
paper008,https://www.researchgate.net/publication/365367739_ORIGEN_Y_DISTRIBUCION_DE_LAS_ARENAS_IN_BASIN_PARA_FRACTURA_HIDRAULICA_DE_VACA_MUERTA,portadap008.png,portadap008.png,Origen y distribución de las renas in basin para fractura hidráulica de Vaca Muerta,"Macellari, Carlos",,11-01-2022,"Este trabajo analiza la viabilidad, origen y distribución de las arenas in basin en el norte de la provincia de Río Negro para su uso como agente de sostén (proppant) en la fracturación hidráulica de la Formación Vaca Muerta. La utilización de estos depósitos holocenos —de origen aluvial, coluvial y eólico— representa una importante optimización logística y reducción de costos frente al transporte tradicional desde Entre Ríos o Chubut. Aunque presentan una resistencia mecánicamente inferior a las arenas premium, sus propiedades (redondez, esfericidad y composición de subarcosas) son adecuadas para las operaciones no convencionales de la Cuenca Neuquina.

El modelo geológico propone que la concentración de cuarzo en estos depósitos se debe a múltiples ciclos de retrabajamiento. La fuente inicial proviene de la erosión del Macizo Nordpatagónico que dio origen a las areniscas del Cretácico Superior de la Formación Bajo de la Carpa. Posteriormente, estos sedimentos sufrieron una denudación durante el Pleistoceno (II Nivel de Pedimentos) y un último transporte en el Holoceno hacia las cuencas endorreicas de los bajos de Menucos, Trapalcó y Santa Rosa, logrando la selección y madurez mineralógica requeridas.",fracking; Vaca Muerta; Río Negro,Argentina,11 Congreso de Exploración y Desarrollo de Hidrocarburos,Simposio de Desarrollo Vaca Muerta,,,,,,,,,,,record,Español,Copyright (C) 2022. Todos los derechos reservados.,https://www.researchgate.net/publication/365367739_ORIGEN_Y_DISTRIBUCION_DE_LAS_ARENAS_IN_BASIN_PARA_FRACTURA_HIDRAULICA_DE_VACA_MUERTA
